Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-01-01,,,,,,134.95283250600994,135.29484737754888,133.46746774913888,133.6238250732422,18169498.0
2025-01-02,189.90625140953068,191.25099101984424,186.76854591781662,188.69100952148438,20370800.0,133.87788893350137,135.2948417100757,133.2915564482029,135.03099060058594,23388424.0
2025-01-03,190.62341890024783,192.45625220914977,189.23884220230838,191.04177856445312,18596200.0,135.03098821399612,136.545668015034,134.69874010335806,135.20689392089844,23351832.0
2025-01-06,193.2232494371018,197.44671400594865,193.09376692292446,196.1019744873047,29563600.0,135.20689549157004,135.23621062455192,128.35665271547006,129.167724609375,44620509.0
2025-01-07,196.34104650196386,200.21587045148732,193.84084384019965,194.7273712158203,26487200.0,129.75406056894397,130.82899851060654,129.00160400978018,130.34039306640625,24239451.0
2025-01-08,191.818753365396,195.52422692104554,191.62949216136246,193.193359375,24864800.0,130.8778439901228,131.1807918835539,128.7670798541568,129.61724853515625,31570331.0
2025-01-09,,,,,,128.99183543759716,129.3827138229862,126.74424744397356,126.96900177001953,31903107.0
2025-01-10,193.54201039861906,195.75335107074358,189.5675704988791,191.2908172607422,26665200.0,126.969005520732,127.41852909715764,123.8126184778634,124.52598571777344,34855510.0
2025-01-13,189.32852659632545,190.43418179207845,186.62909187000687,190.2648468017578,21823700.0,123.12856947890918,123.6171749133493,119.82559942608383,120.12853240966797,38968332.0
2025-01-14,190.4939429327445,191.23104632862814,187.57536549994643,188.92010498046875,17174900.0,120.13830710822148,124.73119522895126,120.13830710822148,124.0373764038086,36877365.0
2025-01-15,192.336729949174,195.5939775570945,191.11153257710336,194.78713989257812,21776000.0,125.08299319727891,125.38592618565981,122.91358384112922,123.64649200439453,18773125.0
2025-01-16,193.3826375623353,194.71740642480486,192.05782421701394,192.15744018554688,17815400.0,125.08299606645339,125.5422863855193,123.67580997493697,124.89732360839844,22164393.0
2025-01-17,195.76331327486383,196.46057945672584,192.99415958170988,195.23538208007812,27735100.0,124.98527589281176,128.17098552179465,124.73119897067106,127.31103515625,27421959.0
2025-01-20,,,,,,128.0048621560315,129.08956685992263,125.97226167887261,128.6595916748047,20571916.0
2025-01-21,198.29339931939404,201.50082353528188,197.0980685764286,197.27737426757812,29971300.0,129.05046569671438,129.382713815381,126.30450552522295,126.74424743652344,32238213.0
2025-01-22,198.28342571973468,199.6978841991253,196.75939576380796,197.5961151123047,26200600.0,127.28171740916363,127.37944446180752,124.22305003180468,125.98202514648438,27505569.0
2025-01-23,197.36703633289733,199.51861361447575,194.4385031217372,197.20765686035156,26951400.0,124.93641102021249,127.77032409741749,124.78982789534324,127.39897918701172,20722538.0
2025-01-24,197.32718592161126,200.11625050908367,197.22756995808922,199.428955078125,23877500.0,127.52602300273526,130.16448946196016,126.36313964092619,126.7833480834961,37092106.0
2025-01-27,191.65938720339696,196.11195036774717,189.98593319836488,191.0617218017578,41728900.0,126.07975317122053,126.49994669650864,122.87449519018274,123.49014282226562,24650571.0
2025-01-28,191.99806124313736,194.71740695981467,189.9361292430902,194.53811645507812,24157900.0,123.49014101793216,127.51625250888442,121.89728251936828,125.68885803222656,40373804.0
2025-01-29,194.7970833042233,196.0222806001553,192.6753879484473,194.64767456054688,18218300.0,126.06020082105816,128.34687065264757,125.62045891668394,127.81918334960938,16674706.0
2025-01-30,197.22758104242592,200.61431120284323,196.89886658344366,200.0863800048828,24354700.0,127.81918199602195,129.13840769517418,127.13513738412219,128.1318817138672,25256096.0
